-e	-e	Rq-y
Kölcsey	Kölcsey	Np-sn
Körösi	Körösi	Afp-sn
Közel-Kelet	Közel-Kelet	Np-sn
Közel-Keleten	Közel-Kelet	Np-sp
Köztük	közt	St
Közép-Afrika	Közép-Afrika	Nc-sn
Közép-Boszniába	Közép-Bosznia	Nc-sx
Közép-Boszniába	Közép-Bosznia	Np-sx
Közép-Európa	Közép-Európa	Nc-sn
Közép-Európa	Közép-Európa	Np-sn
Közép-Európában	Közép-Európa	Nc-s2
Közép-Európában	Közép-Európa	Np-s2
Közép-Tisza	Közép-Tisza	Nc-sn
Közülük	közül	St
L.	L.	Y
Lada	Lada	Np-sn
Ladájukkal	Lada	Np-si---p3
Lajos	Lajos	Np-sn
Lajosról	Lajos	Np-sh
Lajossal	Lajos	Np-si
Lajost	Lajos	Np-sa
Lajtán	Lajta	Np-sp
Lech	Lech	Np-sn
Lehel	Lehel	Np-sn
Lengyelországból	Lengyelország	Np-se
Lenke	Lenke	Np-sn
Leone	Leone	Np-sn
Leopoldville	Leopoldville	Nc-sn
Lettországból	Lettország	Np-se
Libanonban	Libanon	Np-s2
Libanonnal	Libanon	Np-si
Lili	Lili	Np-sn
Lilinek	Lili	Np-sd
Lilire	Lili	Np-ss
Lilla	Lilla	Np-sn
Linda	Linda	Np-sn
Linné	Linné	Np-sn
Lipót	Lipót	Np-sn
Lipótot	Lipót	Np-sa
Litvániából	Litvánie	Np-se
Liverpoolban	Liverpool	Np-s2
Liza	Liza	Np-sn
London	London	Np-sn
London-szerte	London-szerte	Rp
Londonban	London	Np-s2
Londonnak	London	Np-sd
Londonra	London	Np-ss
Londont	London	Np-sa
Los	Los	Np-sn
Luther	Luther	Np-sn
László	László	Np-sn
Lászlónak	László	Np-sd
Lászlótól	László	Np-sb
Lászlóval	László	Np-si
Lázár	Lázár	Np-sn
Líbiából	Líbia	Np-se
Lívia	Lívia	Np-sn
Lőrinc	Lőrinc	Np-sn
Lőrincet	Lőrinc	Np-sa
Lőrincnek	Lőrinc	Np-sd
Lőrincre	Lőrinc	Np-ss
M	M	Y
M.	M.	Y
MDF	MDF	Np-sn
MDF-et	MDF	Np-sa
MDF-fel	MDF	Np-si
MLSZ	MLSZ	Np-sn
MSZMP	MSZMP	Np-sn
MSZOSZ	MSZOSZ	Np-sn
MSZOSZ-alelnök	MSZOSZ-alelnök	Nc-sn
MSZOSZ-esek	MSZOSZ-es	Afp-pn
MSZOSZ-vezetés	MSZOSZ-vezetés	Nc-sn
MSZP	MSZP	Np-sn
MSZP-frakció	MSZP-frakció	Nc-sn
MSZP-képviselők	MSZP-képviselő	Afp-pn
MSZP-képviselők	MSZP-képviselő	Nc-pn
MSZP-listáról	MSZP-lista	Nc-sh
MSZP-n	MSZP	Np-sp
MSZP-tagok	MSZP-tag	Nc-pn
MSZP-tagok	MSZP-tagok	Nc-sn
MTI	MTI	Np-sn
MTV	MTV	Np-sn
Macedónia	Macedónia	Np-sn
Macedóniával	Macedónia	Np-si
Madrid	Madrid	Np-sn
Magda	Magda	Np-sn
Magdolna	Magdolna	Np-sn
Magdolnától	Magdolna	Np-sb
Magdát	Magda	Np-sa
Magyarország	Magyarország	Np-sn
Magyarországgal	Magyarország	Np-si
Magyarországi	Magyarországi	Afp-sn
Magyarországnak	Magyarország	Np-sd
Magyarországon	Magyarország	Np-sp
Magyarországra	Magyarország	Np-ss
Magyarországról	Magyarország	Np-sh
Malév	Malév	Np-sn
Malévnál	Malév	Np-s3
Malévnél	Malév	Np-s3
Manci	Manci	Np-sn
Mancit	Manci	Np-sa
Mandzsúriának	Mandzsúria	Np-sd
Margit	Margit	Np-sn
Marianna	Marianna	Np-sn
Maros	Maros	Np-sn
Marosvásárhelyen	Marosvásárhely	Np-sp
Martin's-in-the-Fieldsnek	Martin's-in-the-Fields	Nc-sd
Marx	Marx	Np-sn
Matild	Matild	Np-sn
Matyi	Matyi	Np-sn
Mayor	Mayor	Nc-sn
Mecseken	Mecsek	Np-sp
Medina	Medina	Np-sn
Melbourne-ben	Melbourne	Np-s2
Mellettem	mellett	St
Mellettünk	mellett	St
Mercedes	Mercedes	Np-sn
Mexikó	Mexikó	Np-sn
Micike	Micike	Np-sn
Mihail	Mihail	Np-sn
Mihály	Mihály	Np-sn
Mihálynál	Mihály	Np-s3
Mihályt	Mihály	Np-sa
Miklós	Miklós	Np-sn
Miklósig	Miklós	Np-s9
Miklóssal	Miklós	Np-si
Miklóst	Miklós	Np-sa
Miklóstól	Miklós	Np-sb
Milosevic	Milosevic	Np-sn
Milton	Milton	Np-sn
Milánóban	Milánó	Np-s2
Minibő	Minibő	Nc-sn
Minigaz	Minigaz	Nc-sn
Minipax	Minipax	Nc-sn
Miniszer	Miniszer	Nc-sn
Misi	Misi	Np-sn
Miskolc	Miskolc	Np-sn
Miskolci	Miskolci	Afp-sn
Miskolcon	Miskolc	Np-sp
Mongóliában	Mongólia	Np-s2
Mongóliából	Mongólia	Np-se
Mongóliának	Mongólia	Np-sd
Montreal	Montreal	Np-sn
Moszkva	Moszkva	Np-sn
Moszkvában	Moszkva	Np-s2
Moszkvából	Moszkva	Np-se
Moszkvának	Moszkva	Np-sd
Moszkvát	Moszkva	Np-sa
Mozambik	Mozambik	Np-sn
Mozambikot	Mozambik	Np-sa
Mozart	Mozart	Np-sn
Mozart-ház	Mozart-ház	Np-sn
Mozart-hét	Mozart-hét	Np-sn
Mozart-szerelmesei	Mozart-szerelmes	Afp-pn----s3
Mozart-szerelmesei	Mozart-szerelmes	Np-pn---s3
Mr.	Mr.	Y
Mrs.	Mrs.	Y
Munkácsyt	Munkácsy	Np-sa
Murányi	Murányi	Afp-sn
Murányit	Murányi	Afp-sa
Murányitól	Murányi	Afp-sb
MÁV	MÁV	Np-sn
MÁV-nak	MÁV	Np-sd
MÁV-nyelv	MÁV-nyelv	Np-sn
Mária	Mária	Np-sn
Máriaként	Mária	Rg
Máriusz	Máriusz	Np-sn
Márkus	Márkus	Np-sn
Márta	Márta	Np-sn
Márton	Márton	Np-sn
Mártonnál	Márton	Np-s3
Mártától	Márta	Np-sb
Mártával	Márta	Np-si
Mátra	Mátra	Np-sn
Mátra-térség	Mátra-térség	Np-sn
Mátraalján	Mátraalja	Np-sp
Mátrai	Mátrai	Afp-sn
Mátyás	Mátyás	Np-sn
Mátyásnak	Mátyás	Np-sd
Máté	Máté	Np-sn
Mészöly	Mészöly	Np-sn
Mónika	Mónika	Np-sn
Mónikát	Mónika	Np-sa
Móricz	Móricz	Np-sn
Mózes	Mózes	Np-sn
Mögéje	mögé	St
Mögötte	mögött	St
N	N	Y
N-T	N-T	Nc-sn
N-T	N-T	Y
N.	N.	Y
N.-t	N.	Y
NASA	NASA	Np-sn
NATO	NATO	Np-sn
NATO-tagságának	NATO-tagság	Np-sd---s3
NDK	NDK	Np-sn
Nagy-Britannia	Nagy-Britannia	Nc-sn
Nagy-Britannia	Nagy-Britannia	Np-sn
Nagy-Britanniában	Nagy-Britannia	Nc-s2
Nagy-Britanniában	Nagy-Britannia	Np-s2
Nagy-Britanniának	Nagy-Britannia	Nc-sd
Nagy-Britanniának	Nagy-Britannia	Np-sd
Nagy-szonettet	Nagy-szonett	Nc-sa
Nagykanizsán	Nagykanizsa	Np-sp
Nagykőrös	Nagykőrös	Np-sn
Nagyvárad	Nagyvárad	Np-sn
Nagyváradi	Nagyváradi	Afp-sn
Nagyváradig	Nagyvárad	Np-s9
Nagyváradnak	Nagyvárad	Np-sd
Nagyváradra	Nagyvárad	Np-ss
Neked	te	Pp2-sd
Nekem	én	Pp1-sd
Neki	ő	Pp3-sd
Nekik	ők	Pp3-pd
Nekünk	mi	Pp1-pd
Neobolsevizmusnak	Neobolsevizmus	Nc-sn
Neue	Neue	Np-sn
Neumann	Neumann	Np-sn
New	New	Np-sn
Nietzsche	Nietzsche	Np-sn
Nietzschei	Nietzschei	Afp-sn
Nikét	Niké	Np-sa
Norbert	Norbert	Np-sn
Noémi	Noémi	Np-sn
Nyugat-Dunántúlon	Nyugat-Dunántúl	Nc-sp
Nyugat-Európa	Nyugat-Európa	Nc-sn
Nyugat-Európa	Nyugat-Európa	Np-sn
Nyugat-Európában	Nyugat-Európa	Nc-s2
Nyugat-Európában	Nyugat-Európa	Np-s2
Nyugat-Európával	Nyugat-Európa	Nc-si
Nyugat-Európával	Nyugat-Európa	Np-si
Nyíregyházán	Nyíregyháza	Np-sp
Nálam	én	Pp1-s3
Nálunk	mi	Pp1-p3
Németh	Németh	Np-sn
Németország	Németország	Np-sn
Németországban	Németország	Np-s2
Németországi	Németországi	Afp-sn
Németországnak	Németország	Np-sd
Nógrád	Nógrád	Np-sn
Nógrádban	Nógrád	Np-s2
O'Brien	O'Brien	Nc-sn
O'Brienen	O'Brienen	Nc-sn
O'Brienhez	O'Brien	Nc-st
O'Briennek	O'Brien	Nc-sn
O'Briennel	O'Brien	Nc-si
O'Brienre	O'Brien	Nc-ss
O'Brient	O'Brien	Nc-sa
O'Brientől	O'Brien	Nc-sb
OTP	OTP	Np-sn
OTP-t	OTP	Np-sa
Ofotért	Ofotért	Np-sn
Ogilvy	Ogilvy	Nc-sn
Olaszországban	Olaszország	Np-s2
Olaszországból	Olaszország	Np-se
Olimpiai	Olimpiai	Afp-sn
Oliver	Oliver	Nc-sn
Omega	Omega	Np-sn
Ontario	Ontario	Np-sn
Ontariói	Ontario	Np-pn---s3
Ontariói	Ontariói	Afp-sn
Opel	Opel	Np-sn
Orbán	Orbán	Np-sn
Orion	Orion	Np-sn
Oroszország	Oroszország	Np-sn
Oroszországba	Oroszország	Np-sx
Oroszországból	Oroszország	Np-se
Oroszországgal	Oroszország	Np-si
Oroszországnak	Oroszország	Np-sd
Oroszországot	Oroszország	Np-sa
Oroszországával	Oroszország	Np-si---s3
Oscar-díjat	Oscar-díj	Np-sa
Ottokár	Ottokár	Np-sn
Ottó	Ottó	Np-sn
Ottónak	Ottó	Np-sd
Ozirisznak	Ozirisz	Nc-sd
P.	P.	Y
PC	PC	Np-sn
PC-részleg	PC-részleg	Np-sn
PC-részleg	PC-részleg	Rg
PHARE	PHARE	Np-sn
PHARE-program	PHARE-program	Np-sn
Paddington-állomásról	Paddington-állomás	Nc-sh
Paks	Paks	Np-sn
Paksi	Paksi	Afp-sn
Paksra	Paks	Np-ss
Pakstól	Paks	Np-sb
Pancras-állomás	Pancras-állomás	Nc-sn
Pannónia	Pannónia	Np-sn
Parsons	Parsons	Nc-sn
Parsons-lakás	Parsons-lakás	Nc-sn
Parsonsnak	Parsons	Nc-sd
Parsonst	Parsons	Nc-sa
Pascal	Pascal	Np-sn
Pasteur-intézetbe	Pasteur-intézet	Np-sx
Peking	Peking	Np-sn
Perzsia	Perzsia	Np-sn
Pest	Pest	Np-sn
Pesten	Pest	Np-sp
Pesti	Pesti	Afp-sn
Petőfi	Petőfi	Np-sn
Petőfit	Petőfi	Np-sa
Philadelphia	Philadelphia	Np-sn
Pilátus	Pilátus	Np-sn
Pilátusig	Pilátus	Np-s9
Piri	Piri	Np-sn
Piri-bábut	Piri-bábu	Np-sa
Piriben	Piri	Np-s2
Pirit	Piri	Np-sa
Pirivel	Piri	Np-si
Piroska	Piroska	Np-sn
Piroska-bábu	Piroska-bábu	Np-sn
Piroskához	Piroska	Np-st
Piroskát	Piroska	Np-sa
Pista	Pista	Np-sn
Pistának	Pista	Np-sd
Pistával	Pista	Np-si
Portugáliától	Portugália	Np-sb
Pozsony	Pozsony	Np-sn
Pozsonyi	Pozsonyi	Afp-sn
Pravda	Pravda	Np-sn
Presser	Presser	Np-sn
Prága	Prága	Np-sn
Prágai	Prágai	Afp-sn
Prágát	Prága	Np-sa
Pál	Pál	Np-sn
Pállal	Pál	Np-si
Páltól	Pál	Np-sb
Párizs	Párizs	Np-sn
Párizsban	Párizs	Np-s2
Párizsi	Párizsi	Afp-sn
Párizst	Párizs	Np-sa
Pázmány	Pázmány	Np-sn
Pécs	Pécs	Np-sn
Pécsett	Pécs	Np-s2
Pécsi	Pécsi	Afp-sn
Péter	Péter	Np-sn
Péternek	Péter	Np-sd
Püspökladány	Püspökladány	Np-sn
Rafael	Rafael	Np-sn
Rajna	Rajna	Np-sn
Rajnáig	Rajna	Np-s9
Rajta	ő	Pp3-sp
Rajtuk	ők	Pp3-pp
Rajtunk	mi	Pp1-pp
Renault-t	Renault-t	Np-sa
Reuter	Reuter	Np-sn
Rezső	Rezső	Np-sn
Rita	Rita	Np-sn
Robin	Robi	Np-sp
Roland	Roland	Np-sn
Románia	Románia	Np-sn
Romániába	Románia	Np-sx
Romániában	Románia	Np-s2
Romániából	Románia	Np-se
Romániával	Románia	Np-si
Rotterdammal	Rotterdam	Np-si
Rt	Rt	Np-sn
Rt-től	Rt	Np-sb
Rudolf	Rudolf	Np-sn
Rutherford	Rutherford	Nc-sn
Rutherfordnak	Rutherford	Nc-sd
Rutherfordot	Rutherford	Nc-sa
Rá	ő	Pp3-ss
Rájuk	ők	Pp3-ps
Rákosi	Rákosi	Np-sn
Rákosszentmihály	Rákosszentmihály	Np-sn
Rákóczi	Rákóczi	Np-sn
Ránk	mi	Pp1-ps
Részvénytársaság	Részvénytársaság	Np-sn
Révai	Révai	Np-sn
Róbert	Róbert	Np-sn
Róbertet	Róbert	Np-sa
Róbertnél	Róbert	Np-s3
Róberttel	Róbert	Np-si
Róla	ő	Pp3-sh
Római	Római	Afp-sn
Rómeó	Rómeó	Np-sn
Rómában	Róma	Np-s2
Rózsa	Rózsa	Np-sn
Rózsadombja	Rózsadomb	Np-sn---s3
Rózsadombon	Rózsadomb	Np-sp
Rózsit	Rózsi	Np-sa
Röltex	Röltex	Np-sn
SS-házmesterrel	SS-házmester	Np-si
SZDSZ	SZDSZ	Np-sn
SZDSZ-es	SZDSZ-es	Afp-sn
SZDSZ-ről	SZDSZ	Np-sh
SZDSZ-szel	SZDSZ	Np-si
SZDSZ-t	SZDSZ	Y
Saint	Saint	Nc-sn
Salgótarján	Salgótarján	Np-sn
Salgótarjánba	Salgótarján	Np-sx
Salgótarjánban	Salgótarján	Np-s2
Salzburg	Salzburg	Np-sn
Salzburgban	Salzburg	Np-s2
San	San	Np-sn
Sanghaji	Sanghaji	Afp-sn
Sanyi	Sanyi	Np-sn
Sanyiban	Sanyi	Np-s2
Sanyiból	Sanyi	Np-se
Sanyihoz	Sanyi	Np-st
Sanyikám	Sanyika	Np-sn---s1
Sanyinak	Sanyi	Np-sd
Sanyit	Sanyi	Np-sa
Sanyitól	Sanyi	Np-sb
Sanyival	Sanyi	Np-si
Sarolta	Sarolta	Np-sn
Sebestyén	Sebestyén	Np-sn
Sebestyént	Sebestyén	Np-sa
Shaftesbury	Shaftesbury	Nc-sn
Shakespeare	Shakespeare	Np-sn
Shakespeare-korabeli	Shakespeare-korabeli	Afp-sn
Shoreditch-templom	Shoreditch-templom	Nc-sn
Simon	Simon	Np-sn
Smith	Smith	Nc-sn
Smithnek	Smith	Nc-sd
Soma	Soma	Np-sn
Somogy	Somogy	Np-sn
Somogyi	Somogyi	Afp-sn
Somában	Soma	Np-s2
Somával	Soma	Np-si
Sopron	Sopron	Np-sn
Sopronba	Sopron	Np-sx
Sopronban	Sopron	Np-s2
Soproni	Soproni	Afp-sn
Sopronét	Sopron	Np-sa-----s
Sorbonne-on	Sorbonne	Np-sp
Spanyolországban	Spanyolország	Np-s2
Spanyolországból	Spanyolország	Np-se
St	St	Nc-sn
St.	St.	Y
Stendhal	Stendhal	Np-sn
Stepneyben	Stepney	Nc-s2
Stuart	Stuart	Np-sn
Suzuki-eladások	Suzuki-eladás	Np-pn
Svájcba	Svájc	Np-sx
Svájcban	Svájc	Np-s2
Svédország	Svédország	Np-sn
Swift	Swift	Nc-sn
Swissair	Swissair	Np-sn
Syme	Syme	Nc-sn
Syme-mal	Syme	Nc-si
Syme-ot	Syme	Nc-sa
Syme-ra	Syme	Nc-ss
Szabolcs	Szabolcs	Np-sn
Szabolcsban	Szabolcs	Np-s2
Szaharában	Szahara	Np-s2
Szarajevóban	Szarajevó	Np-s2
Szarajevótól	Szarajevó	Np-sb
Szatmári	Szatmári	Afp-sn
Szeged	Szeged	Np-sn
Szegeden	Szeged	Np-sp
Szegedi	Szegedi	Afp-sn
Szegedre	Szeged	Np-ss
Szekszárd	Szekszárd	Np-sn
Szelim	Szelim	Np-sn
Szentek-utcájára	Szentek-utcája	Nc-ss---s3
Szentendrei	Szentendrei	Afp-sn
Szentgotthárd	Szentgotthárd	Np-sn
Szentgotthárdi	Szentgotthárdi	Afp-sn
Szentgotthárdon	Szentgotthárd	Np-sp
Szepesi	Szepesi	Afp-sn
Szerbia	Szerbia	Np-sn
Szerbiai	Szerbiai	Afp-sn
Szerencse	Szerencs	Np-sn---s3
Szerencsen	Szerencs	Np-sp
Szerencsére	Szerencs	Np-ss-----s
Szerencsére	Szerencs	Np-ss---s3
Szerinte	szerint	St
Szerintem	szerint	St
Szerintük	szerint	St
Szibériába	Szibéria	Np-sx
Szkopjét	Szkopje	Np-sa
Szlovákia	Szlovákia	Np-sn
Szlovákiába	Szlovákia	Np-sx
Szlovákiában	Szlovákia	Np-s2
Szlovákiáért	Szlovákia	Np-sc
Szolnoki	Szolnoki	Afp-sn
Szolnokra	Szolnok	Np-ss
Szombathelyen	Szombathely	Np-sp
Szondi	Szondi	Np-sn
Szondi-teszt	Szondi-teszt	Np-sn
Szondi-tesztet	Szondi-teszt	Np-sa
Szondi-tesztjének	Szondi-teszt	Np-sd---s3
Szondinál	Szondi	Np-s3
Szondit	Szondi	Np-sa
Szonditól	Szondi	Np-sb
Szovjetunióban	Szovjetunió	Np-s2
Szovjetunióból	Szovjetunió	Np-se
Száva	Száva	Np-sn
Széchenyi	Széchenyi	Np-sn
Székesfehérváron	Székesfehérvár	Np-sp
Szíriával	Szíria	Np-si
Szófiába	Szófia	Np-sx
Sába	Sába	Np-sn
Sándor	Sándor	Np-sn
Sándornak	Sándor	Np-sd
Sándorral	Sándor	Np-si
Sándort	Sándor	Np-sa
Sándortól	Sándor	Np-sb
T.	T.	Y
TV	TV	Np-sn
TVK	TVK	Np-sn
Tacitusát	Tacitus	Np-sa---s3
Tamás	Tamás	Np-sn
Tamástól	Tamás	Np-sb
Tanger	Tanger	Np-sn
Tanzániából	Tanzánia	Np-se
Tatabányán	Tatabánya	Np-sp
Teodor	Teodor	Np-sn
Teréz	Teréz	Np-sn
Terézia	Terézia	Np-sn
Terézváros	Terézváros	Np-sn
Terézvárosban	Terézváros	Np-s2
The	The	Np-sn
Tibetnek	Tibet	Np-sd
Tibor	Tibor	Np-sn
Tiborét	Tibor	Np-sa-----s
Tihamér	Tihamér	Np-sn
Tihanyi	Tihany	Np-pn---s3
Tihanyi	Tihanyi	Afp-sn
Tillotson	Tillotson	Nc-sn
Tillotsont	Tillotson	Nc-sa
Times	Times	Np-sn
Times-ba	Times	Nc-sx
Times-ban	Times	Nc-s2
Times-ból	Times	Nc-se
Times-vezércikkből	Times-vezárcikk	Nc-se
Tisza	Tisza	Np-sn
Tisza-tavon	Tisza-tó	Np-sp
Tisza-tó	Tisza-tó	Np-sn
Tiszai	Tiszai	Afp-sn
Tiszába	Tisza	Np-sx
Tiszán	Tisza	Np-sp
Tiszántúli	Tiszántúli	Afp-sn
Tiszántúlt	Tiszántúl	Np-sa
Tiszától	Tisza	Np-sb
Tivadar	Tivadar	Np-sn
Tivadarral	Tivadar	Np-si
Tolna	Tolna	Np-sn
Tom	Tom	Nc-sn
Torinóban	Torinó	Np-s2
Torontói	Toronto	Np-pn---s3
Torontói	Torontói	Afp-sn
Transsylvaniában	Transsylvania	Np-s2
Tungsram	Tungsram	Np-sn
Tunézia	Tunézia	Np-sn
Táncsics	Táncsics	Np-sn
Tátrai	Tátrai	Afp-sn
Tímea	Tímea	Np-sn
Tóth	Tóth	Np-sn
Törökbálint	Törökbálint	Np-sn
Törökbálintot	Törökbálint	Np-sa
Törökország	Törökország	Np-sn
Tünde	Tünde	Np-sn
UNESCO	UNESCO	Np-sn
USA	USA	Np-sn
Ukrajna	Ukrajna	Np-sn
Ukrajnába	Ukrajna	Np-sx
Ukrajnában	Ukrajna	Np-s2
Ukrajnából	Ukrajna	Np-se
Ukrajnával	Ukrajna	Np-si
Ungvári	Ungvári	Afp-sn
Utána	után	St
V	V	Y
V.	V.	Y
VI	VI	Y
VI-VIII	VI-VIII	Y
VII	VII	Y
VIII	VIII	Y
Vas	Vas	Np-sn
Vasban	Vas	Np-s2
Vele	ő	Pp3-si
Veled	te	Pp2-si
Velem	én	Pp1-si
Velencében	Velence	Np-s2
Velünk	mi	Pp1-pi
Vencel	Vencel	Np-sn
Vera	Vera	Np-sn
Verditől	Verdi	Np-sb
Vergiliushoz	Vergilius	Np-st
Veszprémben	Veszprém	Np-s2
Vilmos	Vilmos	Np-sn
Vince	Vince	Np-sn
Visegrádra	Visegrád	Np-ss
Visztuláig	Visztula	Np-s9
Viziváros	Viziváros	Np-sn
Vizivárosi	Vizivárosi	Afp-sn
Volkswagen	Volkswagen	Np-sn
Vranitzky	Vranitzky	Np-sn
Vác	Vác	Np-sn
Városliget	Városliget	Np-sn
Vénusz	Vénusz	Np-sn
Víziváros	Víziváros	Np-sn
W	W	Y
W.	W.	Y
Wagner	Wagner	Np-sn
Wagner-rendezéseivel	Wagner-rendezés	Np-pi---s3
Walesa	Walesa	Np-sn
Wallenberg	Wallenberg	Np-sn
Wallenberg-csoport	Wallenberg-csoport	Np-sn
Wallenberg-csoporthoz	Wallenberg-csoport	Np-st
Washington	Washington	Np-sn
Washingtonban	Washington	Np-s2
Washingtontól	Washington	Np-sb
Weeks	Weeks	Nc-sn
Wells	Wells	Np-sn
Wilsher	Wilsher	Nc-sn
Winston	Winston	Nc-sn
Winstonba	Winston	Nc-sx
Winstonban	Winston	Nc-s2
Winstonból	Winston	Nc-se
Winstonhoz	Winston	Nc-st
Winstonnak	Winston	Nc-sd
Winstonnal	Winston	Nc-si
Winstonon	Winston	Nc-sp
Winstonra	Winston	Nc-ss
Winstonról	Winston	Nc-sh
Winstont	Winston	Nc-sa
Winstontól	Winston	Nc-sb
Winstoné	Winston	Nc-sn-----s
Winstonékat	Winstonék	Nc-sa
Winstonéval	Winston	Nc-si-----s
Withers	Withers	Nc-sn
Witherst	Withers	Nc-sa
X.	X.	Y
XI	XI	Y
XII	XII	Y
XIII	XIII	Y
XIV-XVII	XIV-XVII	Y
XIX	XIX	Y
XVI	XVI	Y
XX	XX	Y
XXI	XXI	Y
Ybl	Ybl	Np-sn
York-i	York-i	Afp-sn
Yorkban	York	Np-s2
Yorkjának	York	Np-sd---s3
Zaire	Zaire	Np-sn
Zala	Zala	Np-sn
Zalaegerszegen	Zalaegerszeg	Np-sp
Zalában	Zala	Np-s2
Zambia	Zambia	Np-sn
Zeitung	Zeitung	Np-sn
Zemplén	Zemplén	Np-sn
Zirc	Zirc	Np-sn
Zita	Zita	Np-sn
Zoltán	Zoltán	Np-sn
Zoltánok	Zoltán	Np-pn
Zoltánt	Zoltán	Np-sa
Zsiga	Zsiga	Np-sn
Zsigmond	Zsigmond	Np-sn
Zsigmondnál	Zsigmond	Np-s3
Zsigához	Zsiga	Np-st
Zsigát	Zsiga	Np-sa
Zsilinszky	Zsilinszky	Np-sn
Zsolt	Zsolt	Np-sn
Zsoltot	Zsolt	Np-sa
Zsuzsa	Zsuzsa	Np-sn
Zsuzsanna	Zsuzsanna	Np-sn
Zsuzsannát	Zsuzsanna	Np-sa
Zsuzsának	Zsuzsa	Np-sd
Zsuzsáéból	Zsuzsa	Np-se-----s
Zágráb	Zágráb	Np-sn
Zágrábban	Zágráb	Np-s2
Zágrábból	Zágráb	Np-se
Zürichbe	Zürich	Np-sx
Zürichben	Zürich	Np-s2
a	a	Tf
a-moll	a-moll	Nc-sn
ab	ab	Rg
abba	abba	Rp
abba	az	Pd3-sx
abbahagyni	abbahagy	Vmn
abbahagyta	abbahagy	Vmis3s---y
abbahagytam	abbahagy	Vmis1s---n
abbahagytam	abbahagy	Vmis1s---y
abbahagytuk	abbahagy	Vmis1p---y
abbahagyták	abbahagy	Vmis3p---y
abbamaradni	abbamarad	Vmn
abbamaradt	abbamarad	Vmis3s---n
abbamaradt	abbamaradt	Afp-sn
abban	az	Pd3-s2
abból	az	Pd3-se
ablak	ablak	Np-sn
ablaka	ablak	Nc-sn---s3
ablakai	ablak	Nc-pn---s3
ablakaik	ablak	Nc-pn---p3
ablakaikkal	ablak	Nc-pi---p3
ablakainak	ablak	Nc-pd---s3
ablakba	ablak	Nc-sx
ablakfára	ablakfa	Nc-ss
ablakhoz	ablak	Nc-st
ablakkal	ablak	Nc-si
ablakok	ablak	Nc-pn
ablakokat	ablak	Nc-pa
ablakokba	ablak	Nc-px
ablakokkal	ablak	Nc-pi
ablakokon	ablak	Nc-pp
ablakon	ablak	Nc-sp
ablakot	ablak	Nc-sa
ablakpárkánynak	ablakpárkány	Nc-sd
ablakpárkányra	ablakpárkány	Nc-ss
ablakrésekhez	ablakrés	Nc-pt
ablaksorukból	ablaksor	Nc-se---p3
ablaktalan	ablaktalan	Afp-sn
ablaktábla	ablaktábla	Nc-sn
ablakában	ablak	Nc-s2---s3
ablakából	ablak	Nc-se---s3
ablakán	ablak	Nc-sp---s3
ablakát	ablak	Nc-sa---s3
ablaküvegeiről	ablaküveg	Nc-ph---s3
ablaküvegen	ablaküveg	Nc-sp
abortusz	abortusz	Nc-sn
abortuszok	abortusz	Nc-pn
abortuszt	abortusz	Nc-sa
abszolutisztikus	abszolutisztikus	Afp-sn
abszolút	abszolút	Afp-sn
abszolút	abszolút	Nc-sn
absztrakt	absztrakt	Afp-sn
abszurd	abszurd	Afp-sn
abszurdnak	abszurd	Afp-sd
abszurdum	abszurdum	Nc-sn
acatot	acat	Nc-sa
acattövis	acattövis	Nc-sn
achát	achát	Nc-sn
acél	acél	Nc-sn
acélajtó	acélajtó	Nc-sn
acélajtókon	acélajtó	Nc-pp
acélból	acél	Nc-se
acélművet	acélmű	Nc-sa
acélos	acélos	Afp-sn
acélozta	acéloz	Vmis3s---y
acélról	acél	Nc-sh
acélrúddal	acélrúd	Nc-si
acélrúddal	acélrúddal	Nc-sn
ad	ad	Vmip3s---n
adag	adag	Nc-sn
adagban	adag	Nc-s2
adagjánál	adag	Nc-s3---s3
adagot	adag	Nc-sa
adandó	adandó	Afp-sn
adat	adat	Nc-sn
adat	adat	Vmip3s---n
adata	adat	Nc-sn---s3
adatai	adat	Nc-pn---s3
adataiba	adat	Nc-px---s3
adatainak	adat	Nc-pd---s3
adatait	adat	Nc-pa---s3
adatnyilvántartásban	adatnyilvántartás	Nc-s2
adatnál	adat	Nc-s3
adatnál	adat	Vmcp2s---n
adatnál	adatik	Vmcp2s---n
adatok	adat	Nc-pn
adatok	adat	Vmip1s---n
adatok	adatik	Vmip1s---n
adatokat	adat	Nc-pa
adatokkal	adat	Nc-pi
adatoknak	adat	Nc-pd
adatott	adat	Vmis3s---n
adatott	adatik	Vmis3s---n
adatott	adatott	Afp-sn
adatszolgáltatási	adatszolgáltatási	Afp-sn
add	ad	Vmmp2s---y
addig	az	Pd3-s9
addig-addig	addig-addig	Rg
addigi	addigi	Afp-sn
addigra	addigra	Rg
adhassa	adhat	Vmmp3s---y
adhassunk	adhat	Vmmp1p---n
adhat	adhat	Vmip3s---n
adhatja	adhat	Vmip3s---y
adhatják	adhat	Vmip3p---y
adhatna	adhat	Vmcp3s---n
adhatnak	adhat	Vmip3p---n
adhatom	adhat	Vmip1s---y
adhatott	adhat	Vmis3s---n
adhatsz	adhat	Vmip2s---n
adhattam	adhat	Vmis1s---n
adhattam	adhat	Vmis1s---y
adható	adható	Afp-sn
adja	ad	Vmip3s---y
adja	ad	Vmmp3s---y
